#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
625000,191.64691625941504,289.1819291199415,748
630000,173.4848400245068,251.51434424443724,748
635000,166.04126666311623,285.12246015002995,747
640000,174.33401257706967,236.07714250562665,747
645000,218.559271312144,358.57768654963496,746
650000,224.2541166820975,263.9222644028732,746
655000,207.89782565549163,326.3211538202595,745
660000,215.01126001317712,285.15422810254825,745
665000,163.47165087962645,235.96578013402316,744
670000,201.87363641074091,306.9213563725279,744
675000,192.29571440431064,286.7381797924839,744
680000,188.99389882856752,295.10858625193237,744
685000,219.17218747487257,330.4317500191047,744
690000,202.9663516154589,305.1999628343174,744
695000,163.95411874943287,299.5023942441493,745
700000,158.18545260608786,300.9465680958732,745
705000,186.86867214577757,328.8127335058749,744
710000,184.21915865001188,259.4370202685862,745
715000,232.75711998644618,299.2765220792139,745
720000,171.68125393216584,264.9172854120343,745
725000,211.40758495684136,261.72539160663354,745
730000,210.45234861095472,314.6954821889348,745
735000,189.54881874035914,259.3050428440547,745
740000,201.43639442117706,271.53774795583564,745
745000,180.5287528472387,271.3404600644095,745
750000,166.401351294004,389.4170208957999,745
755000,180.19084922314107,290.75515681142554,745
